#Status,Station No.,Station,Water Body,Catchment,River Basin District,Catchment Area,Latitude,Longitude
Level,14001,Carlow,BARROW,BARROW,SOUTH EASTERN RBD,2241.00 km²,52.83422444,-6.938009444
Level & Flow,26409,Carnagh East,STREAM,SHANNON,SHANNON RBD,,53.496471,-8.01937299
Level & Historic Flow,27004,Carnelly,MANUS,FERGUS,SHANNON RBD,15.86 km²,52.80847778,-8.936796667
Level,16062,Carrick On Suir,SUIR ESTY,SUIR,SOUTH EASTERN RBD,2775.00 km²,52.34410389,-7.410373611
Level & Historic Flow,26324,Carrick-On-Shannon,SHANNON,SHANNON,SHANNON RBD,1301.21 km²,53.94320444,-8.0958
Level,19095,Carrigadrohid Headrace,LEE,LEE,SOUTH WESTERN RBD,617.15 km²,51.89700912,-8.86418388
Level & Flow,19114,Carrigrohane Bridge,Curragheen,LEE,SOUTH WESTERN RBD,46.40 km²,51.889797,-8.540992
Level & Flow,30017,Carrownagower,CONG CANAL,CORRIB,WESTERN RBD,0.00 km²,53.57355667,-9.289988889
Level & Historic Flow,30001,Cartronbower,AILLE [MAYO],CORRIB,WESTERN RBD,121.02 km²,53.74296694,-9.312859444
Level,18105,Castlelands,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,1209.00 km²,52.13470525,-8.62286074
Level,22061,Castlemaine,MAINE ESTY,MAINE,SOUTH WESTERN RBD,348.00 km²,52.167595,-9.70277
Level & Flow,07003,Castlerickard,BLACKWATER (ENFIELD),BOYNE,EASTERN RBD,181.51 km²,53.48552444,-6.92185
Level & Flow,24008,Castleroberts,MAIGUE,SHANNON,SHANNON RBD,805.00 km²,52.54344083,-8.767416389
Level & Flow,18102,Castletownroche Weir,AWBEG,BLACKWATER [MUNSTER],SOUTH WESTERN RBD,344.92 km²,52.17369972,-8.46025
Level & Flow,14120,Chapel Street,POUND,SUIR,SOUTH EASTERN RBD,13.16 km²,53.119556,-7.337111
Level,34123,Chapel View,DEEL [Crossmolina],MOY,WESTERN RBD,154.09 km²,54.09638,-9.3208
Level & Flow,06013,Charleville Weir,DEE,DEE,NEAGH BANN RBD,307.00 km²,53.85584278,-6.413995833
Level & Flow,18111,Church Street,DALUA,BLACKWATER [MUNSTER],SOUTH WESTERN RBD,139.77 km²,52.17876639,-8.910823333
Level & Flow,06012,Clarebane,FANE,FANE,NEAGH BANN RBD,163.00 km²,54.09285639,-6.666055833
Level,27065,Clarecastle Barrage D/S,FERGUS ESTY,SHANNON,SHANNON RBD,625.58 km²,52.817269,-8.96285399
Level,27064,Clarecastle Barrage U/S,FERGUS ESTY,SHANNON,SHANNON RBD,625.58 km²,52.817327,-8.96287999
Level,27068,Clarecastle Br,FERGUS,SHANNON,SHANNON RBD,625.58 km²,52.81539694,-8.961536389
Level & Flow,25029,Clarianna,NENAGH,SHANNON,SHANNON RBD,292.67 km²,52.89162278,-8.207709722
Level & Flow,29004,Clarinbridge,CLARINBRIDGE,Galway Bay South East,WESTERN RBD,123.00 km²,53.22934167,-8.874782778
Level & Flow,18114,Clashmorgan,LYRE,BLACKWATER [MUNSTER],SOUTH WESTERN RBD,20.27 km²,52.08298722,-8.681001111
Level & Flow,16051,Clobanna,ROSSESTOWN,SUIR,SOUTH EASTERN RBD,34.19 km²,52.71583139,-7.791764444
Level & Flow,20019,Clonakilty,FEALGE,BANDON,SOUTH WESTERN RBD,21.20 km²,51.62263447,-8.89423527
Level & Flow,14004,Clonbulloge,FIGILE,BARROW,SOUTH EASTERN RBD,268.00 km²,53.25865583,-7.086853611
Level & Flow,38001,Clonconwal,OWENEA,OWENEA,NORTH WESTERN RBD,109.00 km²,54.78170583,-8.365278056
Level & Flow,09112,Clonee Weir,TOLKA,LIFFEY,EASTERN RBD,68.53 km²,53.41088806,-6.43245192
Level & Flow,16011,Clonmel,SUIR,SUIR,SOUTH EASTERN RBD,2143.97 km²,52.35152528,-7.694598056
Level & Historic Flow,25309,Clonsingle Br,ANNAGH,SHANNON ESTUARY,SHANNON RBD,66.64 km²,52.68508066,-8.4319945
Level & Flow,34010,Cloonacannana,MOY,MOY,WESTERN RBD,484.49 km²,53.967397,-8.930447
Level,30084,Cong Pier,L.    CORRIB,CORRIB,WESTERN RBD,893.00 km²,53.53059222,-9.275411667
Level & Flow,30031,Cong Weir,CONG,CORRIB,WESTERN RBD,891.00 km²,53.53859889,-9.28876
Level & Flow,19106,Cooldaniel,LEE,LEE,SOUTH WESTERN RBD,171.54 km²,51.85761,-9.02229
Level & Flow,19110,Cooleen Bridge,TOON,LEE,SOUTH WESTERN RBD,29.97 km²,51.871,-9.07412
Level & Flow,19112,Coolmucky Bridge,Bride (Cork),LEE,SOUTH WESTERN RBD,70.21 km²,51.86084,-8.783723
Level & Flow,14123,Coolroe,DUISKE,BARROW,SOUTH EASTERN RBD,10.88 km²,52.5472,-6.9917
Level & Flow,26015,Corrascoffy,ESLIN,SHANNON ESTUARY,SHANNON RBD,59.47 km²,53.88674,-7.918775
Level & Flow,30004,Corrofin (Clare),CLARE,CORRIB,WESTERN RBD,695.00 km²,53.43755722,-8.863839167
Level & Historic Flow,27003,Corrofin (Fergus),FERGUS,FERGUS,SHANNON RBD,166.42 km²,52.94376222,-9.061918889
Level,34083,Corryosla,L.    CONN,MOY,WESTERN RBD,0.00 km²,53.98538917,-9.227888611
Level,19113,County Hall,Curragheen,LEE,SOUTH WESTERN RBD,47.62 km²,51.892643,-8.509638
Level & Flow,29007,Craughwell,DUNKELLIN,DUNKELLIN,WESTERN RBD,278.00 km²,53.22788724,-8.73639511
Level & Historic Flow,30034,Cregaree,CONG CANAL,CORRIB,WESTERN RBD,887.66 km²,53.54568139,-9.289412778
Level & Flow,25021,Croghan,LITTLE BROSNA,SHANNON,SHANNON RBD,493.00 km²,53.10174167,-7.920461944
Level & Flow,24001,Croom,MAIGUE,MAIGUE,SHANNON RBD,770.36 km²,52.51922417,-8.718468611
Level,34119,Crossmolina,DEEL [Crossmolina],MOY,WESTERN RBD,154.16 km²,54.10011828,-9.31909478
Level,34124,Crossmolina U/S,DEEL [Crossmolina],MOY,WESTERN RBD,154.24 km²,54.10004,-9.3193
Level,34121,Crossmolina Weir D/S,DEEL [Crossmolina],MOY,WESTERN RBD,153.95 km²,54.0932731,-9.3231349
Level & Historic Flow,34120,Crossmolina Weir U/S,DEEL [Crossmolina],MOY,WESTERN RBD,154.00 km²,54.093213,-9.3249622
Level & Historic Flow,13081,Cull Pump House,BALLYTEIGE LAGOON,COASTAL,SOUTH EASTERN RBD,22.00 km²,52.20454361,-6.629580556
Level & Flow,25213,Culleen Fish Farm,BROSNA,SHANNON,SHANNON RBD,33.60 km²,53.549125,-7.351569167
Level & Flow,26075,Cuppanagh,L.    GARA,SHANNON,SHANNON RBD,495.00 km²,53.95833306,-8.406193056
